hashtag,cleaned_tweet,date,subjectivity,polarity,sentiment_class,topic
#FuelShortage,  Kenyas fuel crisis in pictures FuelShortage MonitorUpdates via  ,2022-04-05,0.0,0.0,neutral,1
#FuelShortage,  Video of the day  FuelShortage ,2022-04-05,0.0,0.0,neutral,0
#FuelShortage,  Pale mesh unaweza promote business yako by selling online via  ama kupromote business ya another you,2022-04-05,0.18,-0.21,negative,2
#FuelShortage,  Video of the day  FuelShortage ,2022-04-05,0.0,0.0,neutral,0
#FuelShortage,  Who owns RUBiS Energy Just asking as a concerned patriotic citizen of this nation on behalf of all HUSTLERS   FuelSh,2022-04-05,0.0,0.0,neutral,0
#FuelShortage,   What agenda are you left with now 1BBI issue closed 2Fertilizer done 3Fuel crisis solved  Sh3444b to,2022-04-05,0.05,-0.05,negative,1
#FuelShortage,  KE With all the crises were facing as a country sometimes you just have to smile courtesy of my Country people Kenyans are,2022-04-05,0.1,0.3,positive,2
#FuelShortage,  Video of the day  FuelShortage ,2022-04-05,0.0,0.0,neutral,0
#FuelShortage,  Todays customers are always on the move amp need fast reliable information from businesseservices they interact withIn,2022-04-05,0.6,0.2,positive,0
#FuelShortage,  Video of the day  FuelShortage ,2022-04-05,0.0,0.0,neutral,0
#FuelShortage,  Discussing Azimio discussing FuelShortage politics of the day the state of the economy for hustler nation and our most,2022-04-05,0.5,0.5,positive,1
#FuelShortage,  DP Ruto Where is the Ksh 39B petroleum development fund meant for the fuel subsidy program Can the treasury confirm a,2022-04-05,0.0,0.0,neutral,2
#FuelShortage,  Kenyans should brace for tough times ahead after Central Bank of Kenya CBK Governor Patrick Njoroge hinted that the f,2022-04-05,0.5416666666666667,-0.19444444444444445,negative,0
#FuelShortage,  BREAKING Sh3444b to be released to oil marketers as fuel subsidy after Pres Uhuru Kenyatta signs Supplementary Approp,2022-04-05,0.0,0.0,neutral,1
#FuelShortage,  hon Nigerian Legend FuelShortage ,2022-04-05,0.0,0.0,neutral,0
#FuelShortage,  Care Rental Mngt software is not just for property owners It also provides an interface for tenants to pay rent communica,2022-04-05,0.0,0.0,neutral,0
#FuelShortage,  Care Rental Mngt software is not just for property owners It also provides an interface for tenants to pay rent communica,2022-04-05,0.0,0.0,neutral,0
#FuelShortage,  For better customer service easy inventory processing better profitability and accurate expense tracking robisearch of,2022-04-05,0.6166666666666667,0.45833333333333337,positive,0
#FuelShortage,  Deposit and get 100 bonus oand get to play daily jackpots     Register link PromoKJ00,2022-04-05,0.0,0.0,neutral,0
#FuelShortage,  ke Huku MESH unapata opportunity ya kushowcase biz yako na MESHers wanakupromot instantly Thats why I told you MESH CONNECT,2022-04-05,0.6666666666666666,0.0,neutral,2
